item_id,title_zh,title_en,previous_status,new_status,inferred_artists,inferred_domains,inferred_collection_urls,match_types,match_folders,match_paths
67a73d88fff6,海风,,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,刘守信,liushouxin.artron.net,https://liushouxin.artron.net/works_index_1,filename,22 artist_artron_刘守信,add pic/artist.artron.net/22 artist_artron_刘守信/海风.jpg
a677adff2798,《冬奥将即》,Winter Olympics Approaching,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,filename,USED 23 artist_artron_黄建南,add pic/artist.artron.net/USED 23 artist_artron_黄建南/《冬奥将即》.jpg
f4f9ac223836,冰河上,On the Glacier,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,韩玉臣,hanyuchen.artron.net,https://hanyuchen.artron.net/,filename,USED 04 artist_artron_hanyuchen,add pic/artist.artron.net/USED 04 artist_artron_hanyuchen/冰河上.jpg
971645a03a25,魅力北大荒,Charming Northern Wilderness,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/魅力北大荒.jpg
659033ea8e11,拜石心如山,Heart as Steadfast as a Mountain,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,马章乘,mazhangcheng.artron.net,https://mazhangcheng.artron.net/,filename,USED 07 artist_artron_mazhangcheng1-16,add pic/artist.artron.net/USED 07 artist_artron_mazhangcheng1-16/拜石心如山.jpg
023fc36cae8b,《穿越时空》,Timeless Journey,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,filename,USED 23 artist_artron_黄建南,add pic/artist.artron.net/USED 23 artist_artron_黄建南/《穿越时空》.jpg
08531ba6cd16,蓝莲花,Blue Lotus,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,管朴学,guanpuxue.artron.net,https://guanpuxue.artron.net/,filename,USED 05 artist_artron_guanpuxue,add pic/artist.artron.net/USED 05 artist_artron_guanpuxue/蓝莲花.jpg
a4fcd8aa1030,梦百合NO.6,Dream Lily No. 6,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,铁心,tiexin.artron.net,https://tiexin.artron.net/,filename,USED 03artist_artron_tiexin,add pic/artist.artron.net/USED 03artist_artron_tiexin/梦百合NO.6.jpg
93f86765442d,秋游,Autumn Outing,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/秋游.jpg
70f4e0a0d4dc,阿里老羊倌,Old Shepherd Ali,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,韩玉臣,hanyuchen.artron.net,https://hanyuchen.artron.net/,filename,USED 04 artist_artron_hanyuchen,add pic/artist.artron.net/USED 04 artist_artron_hanyuchen/阿里老羊倌.jpg
b080faf81093,承德秋色,Autumn Scenery in Chengde,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,韩玉臣,hanyuchen.artron.net,https://hanyuchen.artron.net/,filename,USED 04 artist_artron_hanyuchen,add pic/artist.artron.net/USED 04 artist_artron_hanyuchen/承德秋色.jpg
806581147a18,莎迦农民,Saga Farmers,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/莎迦农民.jpg
47a1671704bf,建设者,Builders,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/建设者.jpg
08455cf1eb43,乱云飞渡,Scudding Clouds,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,焦小健,baike.artron.net,https://baike.artron.net/artist?id=1958,filename,USED 06artist_artron_jiaoxiaojian,add pic/artist.artron.net/USED 06artist_artron_jiaoxiaojian/乱云飞渡.jpg
c10ed07770f8,修建新疆库尔勒火车站,Constructing the Korla Train Station in Xinjiang,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/修建新疆库尔勒火车站.jpg
c915ae732262,大新安岭的森林,The Forests of Greater Khingan,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/大新安岭的森林.jpg
95a4e412b22a,云南之彩,Colors of Yunnan,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize1-5,add pic/artist.artron.net/USED 08 artist_artron_daize1-5/云南之彩.jpg
14b6eeb1d5ce,涡轮爱国者的政治提议,Political Proposal of the Turbine Patriot,no_collection_url_available,source_collection_inferred_from_local_title,Dags Vidulejs,artmajeur.com,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,translation_cache,USED 26 Dags Vidulejs,add pic/artmajeur.com/USED 26 Dags Vidulejs/_title_translation_cache.json
b7f9d3683c2b,穹海凝眸,Gazing at the Vast Sky,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,阿丁,ading.artron.net,https://ading.artron.net/,filename,USED 02artist_artron_ading,add pic/artist.artron.net/USED 02artist_artron_ading/穹海凝眸.jpg
2a90047f5f30,旷野,Wilderness,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/旷野.jpg
82dae97f1718,光雾秋色,Autumn Mist and Light,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,阿丁,ading.artron.net,https://ading.artron.net/,filename,USED 02artist_artron_ading,add pic/artist.artron.net/USED 02artist_artron_ading/光雾秋色.jpg
54be9e80c788,高原之花,Highland Flower,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,黄建南; 戴泽,huangjiannan.artron.net; daize.artron.net,https://huangjiannan.artron.net/works_index_21; https://daize.artron.net/,filename,USED 23 artist_artron_黄建南; USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 23 artist_artron_黄建南/高原之花.jpg; add pic/artist.artron.net/USED 08 artist_artron_daize5-22/高原之花.jpg
af6b433a0636,玉树青年,Jade Tree Youth,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/玉树青年.jpg
46c292c90935,镜山,Mirror Mountain,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,管朴学,guanpuxue.artron.net,https://guanpuxue.artron.net/,filename,USED 05 artist_artron_guanpuxue,add pic/artist.artron.net/USED 05 artist_artron_guanpuxue/镜山.jpg
5015332e0585,《大漠风情》,Desert Charm,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,filename,USED 23 artist_artron_黄建南,add pic/artist.artron.net/USED 23 artist_artron_黄建南/《大漠风情》.jpg
5896eae191c8,江山似风清,Mountains and Rivers Like a Clear Breeze,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,马章乘,mazhangcheng.artron.net,https://mazhangcheng.artron.net/,filename,USED 07 artist_artron_mazhangcheng1-16,add pic/artist.artron.net/USED 07 artist_artron_mazhangcheng1-16/江山似风清.jpg
e0001cbfcf57,大锡嘴,Big Tin Beak,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/大锡嘴.jpg
2bb48deea443,永恒的影响,Eternal Influence,no_collection_url_available,source_collection_inferred_from_local_title,Dags Vidulejs,artmajeur.com,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,translation_cache,USED 26 Dags Vidulejs,add pic/artmajeur.com/USED 26 Dags Vidulejs/_title_translation_cache.json
01252760995f,《时空》,Spacetime,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,filename,USED 23 artist_artron_黄建南,add pic/artist.artron.net/USED 23 artist_artron_黄建南/《时空》.jpg
5c21137058dc,梦百合NO.17,Dream Lily No. 17,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,铁心,tiexin.artron.net,https://tiexin.artron.net/,filename,USED 03artist_artron_tiexin,add pic/artist.artron.net/USED 03artist_artron_tiexin/梦百合NO.17.jpg
1dc4834b94cd,生产队长的心愿——不带菜的窝窝头,The Team Leader's Wish: Plain Cornbread,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize1-5,add pic/artist.artron.net/USED 08 artist_artron_daize1-5/生产队长的心愿——不带菜的窝窝头.jpg
8e790c84a78b,卧佛寺银杏,Ginkgo at the Reclining Buddha Temple,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/卧佛寺银杏.jpg
19b681c2ab3c,一家子,Family,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,陈可之; 韩玉臣,chenkezhi.artron.net; hanyuchen.artron.net,https://chenkezhi.artron.net/works_index_1; https://hanyuchen.artron.net/,filename,18 artist_artistweb_陈可之; USED 04 artist_artron_hanyuchen,add pic/artist.artron.net/18 artist_artistweb_陈可之/一家子.jpg; add pic/artist.artron.net/USED 04 artist_artron_hanyuchen/一家子.jpg
0b65f4c5efb7,《丽色班公湖》,Beautiful Colors of Bangong Lake,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,filename,USED 23 artist_artron_黄建南,add pic/artist.artron.net/USED 23 artist_artron_黄建南/《丽色班公湖》.jpg
7ebd9e449369,《荷塘追梦系列之六》,Pursuing Dreams in the Lotus Pond Series No. 6,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,铁心,tiexin.artron.net,https://tiexin.artron.net/,filename,USED 03artist_artron_tiexin,add pic/artist.artron.net/USED 03artist_artron_tiexin/《荷塘追梦系列之六》.jpg
ea48b59e8c1c,徐悲鸿,Xu Beihong,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/徐悲鸿.jpg
279901b23290,《超能量》,Super Energy,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,filename,USED 23 artist_artron_黄建南,add pic/artist.artron.net/USED 23 artist_artron_黄建南/《超能量》.jpg
6906596220e0,初春知山青,"Early Spring, Knowing the Mountains are Green",no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,马章乘,mazhangcheng.artron.net,https://mazhangcheng.artron.net/,filename,USED 07 artist_artron_mazhangcheng1-16,add pic/artist.artron.net/USED 07 artist_artron_mazhangcheng1-16/初春知山青.jpg
438a768615a3,童趣天成,Innocence Naturally,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,韩玉臣,hanyuchen.artron.net,https://hanyuchen.artron.net/,filename,USED 04 artist_artron_hanyuchen,add pic/artist.artron.net/USED 04 artist_artron_hanyuchen/童趣天成.jpg
2a77f41f7618,社会主义民主德国见闻·柏林街头的火车,Train on the Streets of Berlin,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/社会主义民主德国见闻·柏林街头的火车.jpg
a8132cc930c9,花开富贵,Blooming Prosperity,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,马章乘; 海阳,mazhangcheng.artron.net; haiyang.artron.net,https://mazhangcheng.artron.net/; https://haiyang.artron.net/works_index_1,filename,USED 07 artist_artron_mazhangcheng 10 artist_artron_haiyang,add pic/artist.artron.net/USED 07 artist_artron_mazhangcheng 10 artist_artron_haiyang/花开富贵.jpg
4e8cf82d22dd,冰荷花,Frozen Lotus,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,管朴学,guanpuxue.artron.net,https://guanpuxue.artron.net/,filename,USED 05 artist_artron_guanpuxue,add pic/artist.artron.net/USED 05 artist_artron_guanpuxue/冰荷花.jpg
08c6e2d550ba,平静的湖,Calm Lake,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,苏阳阳,artist.artron.net,https://artist.artron.net/artists5391/sale-0-0-0-1-1/,filename,USED 11 artist_artron_suyangyang,add pic/artist.artron.net/USED 11 artist_artron_suyangyang/平静的湖.jpg
ef298d42dcb3,入胜,Enthralling,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,韩玉臣,hanyuchen.artron.net,https://hanyuchen.artron.net/,filename,USED 04 artist_artron_hanyuchen,add pic/artist.artron.net/USED 04 artist_artron_hanyuchen/入胜.jpg
2e127cc1741f,楠楠的幸福,Nan's Happiness,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,马章乘; 海阳,mazhangcheng.artron.net; haiyang.artron.net,https://mazhangcheng.artron.net/; https://haiyang.artron.net/works_index_1,filename,USED 07 artist_artron_mazhangcheng 10 artist_artron_haiyang,add pic/artist.artron.net/USED 07 artist_artron_mazhangcheng 10 artist_artron_haiyang/楠楠的幸福.jpg
70b2a8615a4b,中央美院旧址,Former Site of the Central Academy of Fine Arts,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/中央美院旧址.jpg
c31d55b83053,《山魂》,Mountain Soul,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,filename,USED 23 artist_artron_黄建南,add pic/artist.artron.net/USED 23 artist_artron_黄建南/《山魂》.jpg
187d0f33837e,江南山水,Jiangnan Landscape,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,马章乘,mazhangcheng.artron.net,https://mazhangcheng.artron.net/,filename,USED 07 artist_artron_mazhangcheng1-16,add pic/artist.artron.net/USED 07 artist_artron_mazhangcheng1-16/江南山水.jpg
4742f89b46a4,自由的马,Horse of Freedom,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,苏阳阳,artist.artron.net,https://artist.artron.net/artists5391/sale-0-0-0-1-1/,filename,USED 11 artist_artron_suyangyang,add pic/artist.artron.net/USED 11 artist_artron_suyangyang/自由的马.jpg
ea18ed368692,沐雪,Snow Bath,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,韩玉臣,hanyuchen.artron.net,https://hanyuchen.artron.net/,filename,USED 04 artist_artron_hanyuchen,add pic/artist.artron.net/USED 04 artist_artron_hanyuchen/沐雪.jpg
0e42106d4e5d,《财神-来客》,God of Wealth - Visitor,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,filename,USED 23 artist_artron_黄建南,add pic/artist.artron.net/USED 23 artist_artron_黄建南/《财神-来客》.jpg
c49334837975,维族女大夫,Uyghur Female Doctor,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/维族女大夫.jpg
f3274e0cb018,然乌湖上,Above Ranwu Lake,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,韩玉臣,hanyuchen.artron.net,https://hanyuchen.artron.net/,filename,USED 04 artist_artron_hanyuchen,add pic/artist.artron.net/USED 04 artist_artron_hanyuchen/然乌湖上.jpg
aafc679bb369,攀登,Ascent,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,陈可之,chenkezhi.artron.net,https://chenkezhi.artron.net/works_index_1,filename,18 artist_artistweb_陈可之,add pic/artist.artron.net/18 artist_artistweb_陈可之/攀登.jpg
cdc74335c731,危险之花,Perilous Bloom,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,filename,USED 23 artist_artron_黄建南,add pic/artist.artron.net/USED 23 artist_artron_黄建南/危险之花.jpg
26e786725d68,红荷,Red Lotus,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,管朴学,guanpuxue.artron.net,https://guanpuxue.artron.net/,filename,USED 05 artist_artron_guanpuxue,add pic/artist.artron.net/USED 05 artist_artron_guanpuxue/红荷.jpg
49491744a221,欧盟议会. 真理部,European Parliament: Ministry of Truth,no_collection_url_available,source_collection_inferred_from_local_title,Dags Vidulejs,artmajeur.com,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,translation_cache,USED 26 Dags Vidulejs,add pic/artmajeur.com/USED 26 Dags Vidulejs/_title_translation_cache.json
46a9f9cc9b63,佛说之二,Buddha Speaks II,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,马章乘; 海阳,mazhangcheng.artron.net; haiyang.artron.net,https://mazhangcheng.artron.net/; https://haiyang.artron.net/works_index_1,filename,USED 07 artist_artron_mazhangcheng 10 artist_artron_haiyang,add pic/artist.artron.net/USED 07 artist_artron_mazhangcheng 10 artist_artron_haiyang/佛说之二.jpg
55f16309af16,薛涛井,Xue Tao Well,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/薛涛井.jpg
6321cf36a06c,阳光下,In the Sun,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,韩玉臣,hanyuchen.artron.net,https://hanyuchen.artron.net/,filename,USED 04 artist_artron_hanyuchen,add pic/artist.artron.net/USED 04 artist_artron_hanyuchen/阳光下.jpg
a033b6741022,异恐症,异恐症,no_collection_url_available,source_collection_inferred_from_local_title,Dags Vidulejs,artmajeur.com,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,translation_cache,USED 26 Dags Vidulejs,add pic/artmajeur.com/USED 26 Dags Vidulejs/_title_translation_cache.json
fdeb5e436b16,埃隆·马斯克推特带来言论自由的希望,Elon Musk's Twitter Brings Hope for Free Speech,no_collection_url_available,source_collection_inferred_from_local_title,Dags Vidulejs,artmajeur.com,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,translation_cache,USED 26 Dags Vidulejs,add pic/artmajeur.com/USED 26 Dags Vidulejs/_title_translation_cache.json
da0956903985,原子战争后的欧盟社会,Post-Atomic War European Union Society,no_collection_url_available,source_collection_inferred_from_local_title,Dags Vidulejs,artmajeur.com,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,translation_cache,USED 26 Dags Vidulejs,add pic/artmajeur.com/USED 26 Dags Vidulejs/_title_translation_cache.json
b47b82a49dbf,前门护城河边,By the Moat at Qianmen,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/前门护城河边.jpg
c402603fc5d9,少女的心事,A Girl's Thoughts,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,马章乘; 海阳,mazhangcheng.artron.net; haiyang.artron.net,https://mazhangcheng.artron.net/; https://haiyang.artron.net/works_index_1,filename,USED 07 artist_artron_mazhangcheng 10 artist_artron_haiyang,add pic/artist.artron.net/USED 07 artist_artron_mazhangcheng 10 artist_artron_haiyang/少女的心事.jpg
5e5774946afc,我的家,My Home,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/我的家.jpg
32c426ef526c,放牧,Herding,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,韩玉臣,hanyuchen.artron.net,https://hanyuchen.artron.net/,filename,USED 04 artist_artron_hanyuchen,add pic/artist.artron.net/USED 04 artist_artron_hanyuchen/放牧.jpg
d5a7c286c606,酷女孩_酷普桑_天才女孩,"Cool Girl, Cool Pusan, Genius Girl",no_collection_url_available,source_collection_inferred_from_local_title,Dags Vidulejs,artmajeur.com,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,translation_cache,USED 26 Dags Vidulejs,add pic/artmajeur.com/USED 26 Dags Vidulejs/_title_translation_cache.json
abd845aba974,汉口码头,Hankou Wharf,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize1-5,add pic/artist.artron.net/USED 08 artist_artron_daize1-5/汉口码头.jpg
fce710c630a2,胸有朝霞油画,Morning Glow in the Heart,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,韩玉臣,hanyuchen.artron.net,https://hanyuchen.artron.net/,filename,USED 04 artist_artron_hanyuchen,add pic/artist.artron.net/USED 04 artist_artron_hanyuchen/胸有朝霞油画.jpg
