item_id,title_zh,title_en,match_status,candidate_count,candidate_artists_or_collections,candidate_domains,candidate_source_page_urls,candidate_titles
79ea08d6c654,梦中的陪伴,,exact_single,1,Ta,artmajeur.com,https://www.artmajeur.com/ta00?view=grid&collections%5B0%5D=2214331&page=1,梦中的陪伴
bd8854389702,肮脏的思维,Dirty Mind,exact_single,1,,,,肮脏的思维
297676566b29,沉船,Shipwreck,exact_single,1,,,,沉船
0aa1912a9d55,高于一切,,exact_single,1,Milos Hronec,artmajeur.com,https://www.artmajeur.com/milos-hronec?view=grid&collections%5B%5D=2390674,高于一切
f5d6ddef0a0f,热情的女王,Passionate Queen,exact_single,1,,,,热情的女王
67a73d88fff6,海风,,exact_single,1,刘守信,liushouxin.artron.net,https://liushouxin.artron.net/works_index_1,海风
9d1567dbc357,梦幻风景,,exact_single,1,Aurelie Lafourcade,artmajeur.com,https://www.artmajeur.com/aurelie-lafourcade?view=grid&collections%5B%5D=2408860,梦幻风景
46f42ba64835,玩耍的夫妻两,Playing Couple,exact_single,1,苏大朝,artist.artron.net,https://artist.artron.net/artists23462/sale-0-0-0-1-1/,玩耍的夫妻两
9c7819d47c8a,为爱。蝴蝶舞。欣喜,,exact_single,1,Dags Vidulejs,artmajeur.com,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,为爱。蝴蝶舞。欣喜
55fc7242b742,《城堡之夜》,Night of the Castle,exact_single,1,苏阳阳,artist.artron.net,https://artist.artron.net/artists5391/sale-0-0-0-1-1/,《城堡之夜》
973d4c876c05,时间的气息,,exact_single,1,Jean-Humbert Savoldelli,artmajeur.com,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,时间的气息
a49a0ae8afb3,人骨,,exact_single,1,Milos Hronec,artmajeur.com,https://www.artmajeur.com/milos-hronec?view=grid&collections%5B%5D=2390674,人骨
568cc7cdc478,自然编码 雾中的长颈鹿,Nature Code: Giraffe in the Mist,exact_single,1,,,,自然编码 雾中的长颈鹿
a677adff2798,《冬奥将即》,Winter Olympics Approaching,ambiguous,2,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,《冬奥将即》
346e12a14b8c,飞翔的荷兰人（永不安宁）,The Flying Dutchman (Never at Rest),exact_single,1,Robert Van Den Herik,artmajeur.com,https://www.artmajeur.com/robert-van-den-herik?view=grid&collections%5B0%5D=1744639&page=2,飞翔的荷兰人（永不安宁）
418d386d3c7f,邻居们,,exact_single,1,Igor Shulman,artmajeur.com,https://www.artmajeur.com/igor-shulman?view=grid&collections%5B%5D=1286191,邻居们
9d602bffd5f2,高原红,Plateau Red,exact_single,1,,,,高原红
1d761e9323fc,基尔海港的粉色回忆,Pink Memories of Kiel Harbor,exact_single,1,苏阳阳,artist.artron.net,https://artist.artron.net/artists5391/sale-0-0-0-1-1/,基尔海港的粉色回忆
6af04c4ce356,陷阱,Trap,exact_single,1,,,,陷阱
f4f9ac223836,冰河上,On the Glacier,exact_single,1,韩玉臣,hanyuchen.artron.net,https://hanyuchen.artron.net/,冰河上
339520abb056,怀旧的对称,,unmatched,0,,,,
18028c2b7b7e,期待回家,Longing to Return Home,exact_single,1,Robert Van Den Herik,artmajeur.com,https://www.artmajeur.com/robert-van-den-herik?view=grid&collections%5B0%5D=1744639&page=2,期待回家
35eb9ca69596,阿波罗纳的敬意,,exact_single,1,Manolis Maridakis,artmajeur.com,https://www.artmajeur.com/manolis-maridakis?view=grid&collections%5B%5D=2471758,阿波罗纳的敬意
523e1fe9c615,疲惫的力量,The Power of Exhaustion,exact_single,1,,,,疲惫的力量
14791f349980,仅此一次,,exact_single,1,Milos Hronec,artmajeur.com,https://www.artmajeur.com/milos-hronec?view=grid&collections%5B%5D=2390674,仅此一次
971645a03a25,魅力北大荒,Charming Northern Wilderness,exact_single,1,戴泽,daize.artron.net,https://daize.artron.net/,魅力北大荒
8fa40a09a8c2,犀牛大哥,Brother Rhino,exact_single,1,苏大朝,artist.artron.net,https://artist.artron.net/artists23462/sale-0-0-0-1-1/,犀牛大哥
87f2c69f311e,创世纪2,Genesis 2,exact_single,1,Oluwapelumi Olaosun,artmajeur.com,https://www.artmajeur.com/oluwapelumi-olaosun?view=grid&collections%5B%5D=2301889,创世纪2
659033ea8e11,拜石心如山,Heart as Steadfast as a Mountain,exact_single,1,马章乘,mazhangcheng.artron.net,https://mazhangcheng.artron.net/,拜石心如山
676e92cd763f,公牛与舞者,Bull and Dancer,exact_single,1,,,,公牛与舞者
fd32fb776339,沉思迷失,Pensive Lost,exact_single,1,Robert Van Den Herik,artmajeur.com,https://www.artmajeur.com/robert-van-den-herik?view=grid&collections%5B0%5D=1744639&page=2,沉思迷失
7ccbf4d30534,是的，我能,"Yes, I Can",exact_single,1,,,,是的，我能
023fc36cae8b,《穿越时空》,Timeless Journey,ambiguous,2,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,《穿越时空》
08531ba6cd16,蓝莲花,Blue Lotus,exact_single,1,管朴学,guanpuxue.artron.net,https://guanpuxue.artron.net/,蓝莲花
6d8969f1935f,偶蹄目,,exact_single,1,Milos Hronec,artmajeur.com,https://www.artmajeur.com/milos-hronec?view=grid&collections%5B%5D=2390674,偶蹄目
a0b6a4908570,愤怒的男人,,exact_single,1,Milos Hronec,artmajeur.com,https://www.artmajeur.com/milos-hronec?view=grid&collections%5B%5D=2390674,愤怒的男人
a4fcd8aa1030,梦百合NO.6,Dream Lily No. 6,exact_single,1,铁心,tiexin.artron.net,https://tiexin.artron.net/,梦百合NO.6
93f86765442d,秋游,Autumn Outing,exact_single,1,戴泽,daize.artron.net,https://daize.artron.net/,秋游
012fd97b40ea,傲慢,Arrogance,exact_single,1,,,,傲慢
5f906544042d,春巷,,exact_single,1,Nga Tran,artmajeur.com,https://www.artmajeur.com/nga-tran?view=grid&collections%5B%5D=2287606,春巷
70f4e0a0d4dc,阿里老羊倌,Old Shepherd Ali,exact_single,1,韩玉臣,hanyuchen.artron.net,https://hanyuchen.artron.net/,阿里老羊倌
b080faf81093,承德秋色,Autumn Scenery in Chengde,exact_single,1,韩玉臣,hanyuchen.artron.net,https://hanyuchen.artron.net/,承德秋色
806581147a18,莎迦农民,Saga Farmers,exact_single,1,戴泽,daize.artron.net,https://daize.artron.net/,莎迦农民
b86ef5c6fdf9,第一颗星星,The First Star,exact_single,1,,,,第一颗星星
f75c28d0cbee,跳高,,exact_single,1,Igor Shulman,artmajeur.com,https://www.artmajeur.com/igor-shulman?view=grid&collections%5B%5D=1286191,跳高
f86f7f65b5a8,爱猫爱狗爱宠物,"Love Cats, Love Dogs, Love Pets",exact_single,1,,,,爱猫爱狗爱宠物
1312bd181e76,找到你的光芒,,exact_single,1,Antoine Alran,artmajeur.com,https://www.artmajeur.com/antoine-alran?view=grid&collections%5B%5D=2199799,找到你的光芒
8504dfc707f1,存在危机,,exact_single,1,Milos Hronec,artmajeur.com,https://www.artmajeur.com/milos-hronec?view=grid&collections%5B%5D=2390674,存在危机
47a1671704bf,建设者,Builders,ambiguous,2,戴泽,daize.artron.net,https://daize.artron.net/,建设者
cd180a38fc7a,施塔恩贝格帆影,Sailboats on Lake Starnberg,exact_single,1,苏阳阳,artist.artron.net,https://artist.artron.net/artists5391/sale-0-0-0-1-1/,施塔恩贝格帆影
21542c5ac543,我想要和平，而不是眼泪,,unmatched,0,,,,
24d60792ad18,痛苦的时间,Time of Suffering,exact_single,1,,,,痛苦的时间
8754b997a1bf,艺伎 II,,unmatched,0,,,,
f28e323f6f07,奇妙的飞翔,Marvelous Flight,exact_single,1,Picrate,artmajeur.com,https://www.artmajeur.com/picrate?view=grid&collections%5B%5D=1775407,奇妙的飞翔
08455cf1eb43,乱云飞渡,Scudding Clouds,exact_single,1,焦小健,baike.artron.net,https://baike.artron.net/artist?id=1958,乱云飞渡
c10ed07770f8,修建新疆库尔勒火车站,Constructing the Korla Train Station in Xinjiang,exact_single,1,戴泽,daize.artron.net,https://daize.artron.net/,修建新疆库尔勒火车站
9a2d71facbfa,在清泉的水中,In the Clear Spring Water,exact_single,1,,,,在清泉的水中
3dc81be3aee9,一段未指明的焦虑片段,An Unspecified Fragment of Anxiety,exact_single,1,,,,一段未指明的焦虑片段
c915ae732262,大新安岭的森林,The Forests of Greater Khingan,exact_single,1,戴泽,daize.artron.net,https://daize.artron.net/,大新安岭的森林
95a4e412b22a,云南之彩,Colors of Yunnan,exact_single,1,戴泽,daize.artron.net,https://daize.artron.net/,云南之彩
4c8e20323835,生存还是毁灭 II,To Be or Not to Be II,exact_single,1,,,,生存还是毁灭 II
14b6eeb1d5ce,涡轮爱国者的政治提议,Political Proposal of the Turbine Patriot,exact_single,1,,,,涡轮爱国者的政治提议
b7f9d3683c2b,穹海凝眸,Gazing at the Vast Sky,exact_single,1,阿丁,ading.artron.net,https://ading.artron.net/,穹海凝眸
4c717b62cd99,好好学习,Study Hard,exact_single,1,,,,好好学习
2910b3ec4bea,生命的源起,Origin of Life,exact_single,1,尘三,artist.artron.net,https://artist.artron.net/artists23471/sale-0-0-0-7-1/,生命的源起
2a90047f5f30,旷野,Wilderness,exact_single,1,戴泽,daize.artron.net,https://daize.artron.net/,旷野
f42bae375c68,圣人之墓,Tomb of the Sage,exact_single,1,,,,圣人之墓
82dae97f1718,光雾秋色,Autumn Mist and Light,exact_single,1,阿丁,ading.artron.net,https://ading.artron.net/,光雾秋色
6c5787c90201,昊天,Vast Sky,exact_single,1,尘三,artist.artron.net,https://artist.artron.net/artists23471/sale-0-0-0-7-1/,昊天
54be9e80c788,高原之花,Highland Flower,ambiguous,3,戴泽; 黄建南,daize.artron.net; huangjiannan.artron.net,https://daize.artron.net/; https://huangjiannan.artron.net/works_index_21,高原之花
0c006cf8053d,世界是一个大家庭,The World is One Big Family,exact_single,1,Picrate,artmajeur.com,https://www.artmajeur.com/picrate?view=grid&collections%5B%5D=1775407,世界是一个大家庭
1e1fac09ec6a,骗子,,exact_single,1,Milos Hronec,artmajeur.com,https://www.artmajeur.com/milos-hronec?view=grid&collections%5B%5D=2390674,骗子
af6b433a0636,玉树青年,Jade Tree Youth,exact_single,1,戴泽,daize.artron.net,https://daize.artron.net/,玉树青年
46c292c90935,镜山,Mirror Mountain,exact_single,1,管朴学,guanpuxue.artron.net,https://guanpuxue.artron.net/,镜山
5015332e0585,《大漠风情》,Desert Charm,ambiguous,2,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,《大漠风情》
5896eae191c8,江山似风清,Mountains and Rivers Like a Clear Breeze,exact_single,1,马章乘,mazhangcheng.artron.net,https://mazhangcheng.artron.net/,江山似风清
81f21b9d1214,清算时刻,Moment of Reckoning,exact_single,1,,,,清算时刻
776b4845431b,超越,,unmatched,0,,,,
e0001cbfcf57,大锡嘴,Big Tin Beak,exact_single,1,戴泽,daize.artron.net,https://daize.artron.net/,大锡嘴
1278288f5df4,沐浴中的黛安,,exact_single,1,Alain Vintenon,artmajeur.com,https://www.artmajeur.com/alain-vintenon?view=grid&collections%5B%5D=2312140,沐浴中的黛安
4aab7939c10d,共生,,exact_single,1,Jean-Humbert Savoldelli,artmajeur.com,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,共生
cb818bb33886,互惠,Reciprocity,exact_single,1,Robert Van Den Herik,artmajeur.com,https://www.artmajeur.com/robert-van-den-herik?view=grid&collections%5B0%5D=1744639&page=2,互惠
a07976bbfe5f,巅峰,,unmatched,0,,,,
dbec299f61c3,触,Touch,exact_single,1,苏大朝,artist.artron.net,https://artist.artron.net/artists23462/sale-0-0-0-1-1/,触
2bb48deea443,永恒的影响,Eternal Influence,exact_single,1,,,,永恒的影响
0b2b92989712,生命节奏,,exact_single,1,Nga Tran,artmajeur.com,https://www.artmajeur.com/nga-tran?view=grid&collections%5B%5D=2287606,生命节奏
01252760995f,《时空》,Spacetime,ambiguous,2,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,《时空》
184be999791b,鹦鹉与女性同行,Parrot and Woman Walking Together,exact_single,1,,,,鹦鹉与女性同行
b661535ffe1b,坝上暮色,Evening at Bashang,exact_single,1,苏阳阳,artist.artron.net,https://artist.artron.net/artists5391/sale-0-0-0-1-1/,坝上暮色
b29fc468059d,斗牛士,,exact_single,1,Jean-Humbert Savoldelli,artmajeur.com,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,斗牛士
df6fef0c8fff,美丽的小瞬间,,exact_single,1,Milos Hronec,artmajeur.com,https://www.artmajeur.com/milos-hronec?view=grid&collections%5B%5D=2390674,美丽的小瞬间
cf52f1ad0b48,日食,,exact_single,1,Annabelle Amory,artmajeur.com,https://www.artmajeur.com/annabelle-amory?view=grid&collections%5B%5D=2064842,日食
dd385488dbc1,飞行,,unmatched,0,,,,
429f6fb5a363,你在沉默中哭泣,Crying in Silence,exact_single,1,,,,你在沉默中哭泣
eb4303a8bb3c,金色回声,,exact_single,1,Alex Senchenko,artmajeur.com,https://www.artmajeur.com/senchenko?view=grid&collections%5B%5D=1872680,金色回声
e28f63fde1bf,金色降临,,exact_single,1,Alex Senchenko,artmajeur.com,https://www.artmajeur.com/senchenko?view=grid&collections%5B%5D=1872680,金色降临
5c21137058dc,梦百合NO.17,Dream Lily No. 17,exact_single,1,铁心,tiexin.artron.net,https://tiexin.artron.net/,梦百合NO.17
df934ec0cfa8,川流不息,Endless Flow,exact_single,1,苏阳阳,artist.artron.net,https://artist.artron.net/artists5391/sale-0-0-0-1-1/,川流不息
4e22cb6f04b9,馊主意,Bad Idea,exact_single,1,,,,馊主意
42dbb4c4a1c4,武松与虎斗,Wu Song Fights the Tiger,exact_single,1,,,,武松与虎斗
c288e629c7a8,回家的路上,On the Way Home,exact_single,1,Robert Van Den Herik,artmajeur.com,https://www.artmajeur.com/robert-van-den-herik?view=grid&collections%5B0%5D=1744639&page=2,回家的路上
b6c2cdc191a6,美丽无处不在,,exact_single,1,Ganiyat Abdulazeez,artmajeur.com,https://www.artmajeur.com/ganiyat-abdulazeez?view=grid&collections%5B%5D=2121668,美丽无处不在
2a946166afb9,了不起的父母,Remarkable Parents,exact_single,1,Picrate,artmajeur.com,https://www.artmajeur.com/picrate?view=grid&collections%5B%5D=1775407,了不起的父母
2a288cf75bb4,月球之旅,,unmatched,0,,,,
0240c1cfde86,《星际》,Interstellar,ambiguous,3,党中华; 黄建南,artist.artron.net; huangjiannan.artron.net,https://artist.artron.net/artists314; https://huangjiannan.artron.net/works_index_21,《星际》; 星际
01cf68b3e4d7,逆风,,exact_single,1,Jean-Humbert Savoldelli,artmajeur.com,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,逆风
f4a566d593e1,黑白映光,Black and White Reflection,exact_single,1,苏阳阳,artist.artron.net,https://artist.artron.net/artists5391/sale-0-0-0-1-1/,黑白映光
2f0f3f900c84,不安的房间,Uneasy Room,exact_single,1,,,,不安的房间 
1dc4834b94cd,生产队长的心愿——不带菜的窝窝头,The Team Leader's Wish: Plain Cornbread,exact_single,1,戴泽,daize.artron.net,https://daize.artron.net/,生产队长的心愿——不带菜的窝窝头
7bb2674c7d1b,五月长白,May in Changbai,unmatched,0,,,,
8e790c84a78b,卧佛寺银杏,Ginkgo at the Reclining Buddha Temple,exact_single,1,戴泽,daize.artron.net,https://daize.artron.net/,卧佛寺银杏
19b681c2ab3c,一家子,Family,ambiguous,2,陈可之; 韩玉臣,chenkezhi.artron.net; hanyuchen.artron.net,https://chenkezhi.artron.net/works_index_1; https://hanyuchen.artron.net/,一家子
be9bef105d82,三个文人,Three Scholars,exact_single,1,,,,三个文人
0b65f4c5efb7,《丽色班公湖》,Beautiful Colors of Bangong Lake,ambiguous,2,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,《丽色班公湖》
