artist_or_collection,domain,source_page_url,user_note,license_status,notes
Oluwapelumi Olaosun,artmajeur.com,https://www.artmajeur.com/oluwapelumi-olaosun?view=grid&collections%5B%5D=2301889,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Picrate,artmajeur.com,https://www.artmajeur.com/picrate?view=grid&collections%5B%5D=1775407,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Ganiyat Abdulazeez,artmajeur.com,https://www.artmajeur.com/ganiyat-abdulazeez?view=grid&collections%5B%5D=2121668,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Robert Van Den Herik,artmajeur.com,https://www.artmajeur.com/robert-van-den-herik?view=grid&collections%5B0%5D=1744639&page=2,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Bogdan Dide,artmajeur.com,https://www.artmajeur.com/bogdan-dide?view=grid&collections%5B%5D=1714582,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Manolis Maridakis,artmajeur.com,https://www.artmajeur.com/manolis-maridakis?view=grid&collections%5B%5D=2471758,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Jeremie Camus,artmajeur.com,https://www.artmajeur.com/jeremie-camus?view=grid&collections%5B%5D=2238868,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Ta,artmajeur.com,https://www.artmajeur.com/ta00?view=grid&collections%5B0%5D=2214331&page=1,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Natalya Lisina,artmajeur.com,https://www.artmajeur.com/natalya-lisina,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Awe Haiwe,artmajeur.com,https://www.artmajeur.com/awe-haiwe?view=grid&collections%5B%5D=2197639,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Shepard Fairey,artmajeur.com,https://www.artmajeur.com/obey-shepard-fairey,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Josep Maria Fontanet Sureda,artmajeur.com,https://www.artmajeur.com/josepmariafontanetsureda?view=grid&collections%5B%5D=2218051,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Giancarlo Colombo,artmajeur.com,https://www.artmajeur.com/giancarlo-colombo?view=grid&collections%5B%5D=2426074,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Claude Andre Thibaud,artmajeur.com,https://www.artmajeur.com/claude-andre-thibaud?view=grid&collections%5B%5D=1644850,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Jean-Marie Gitard,artmajeur.com,https://www.artmajeur.com/jean-marie-gitard?view=grid&collections%5B0%5D=1921250,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Viktor Sheleg,artmajeur.com,https://www.artmajeur.com/zh/yi-shu-pin?hybrid_query=%20Viktor%20Sheleg%20,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Gaetano Ligrani,artmajeur.com,https://www.artmajeur.com/gaetano-ligrani?view=grid&collections%5B%5D=2267377,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Chloe Kaemmerer,artmajeur.com,https://www.artmajeur.com/chloe-kaemmerer?view=grid&collections%5B%5D=2320546,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Igor Shulman,artmajeur.com,https://www.artmajeur.com/igor-shulman?view=grid&collections%5B%5D=1286191,1-5,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Jean Luc Michon,artmajeur.com,https://www.artmajeur.com/jean-luc-michon?view=grid&collections%5B%5D=2220361,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Annabelle Amory,artmajeur.com,https://www.artmajeur.com/annabelle-amory?view=grid&collections%5B%5D=2064842,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Alex Senchenko,artmajeur.com,https://www.artmajeur.com/senchenko?view=grid&collections%5B%5D=1872680,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Nga Tran,artmajeur.com,https://www.artmajeur.com/nga-tran?view=grid&collections%5B%5D=2287606,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Aurelie Lafourcade,artmajeur.com,https://www.artmajeur.com/aurelie-lafourcade?view=grid&collections%5B%5D=2408860,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Irina Laube,artmajeur.com,https://www.artmajeur.com/irina-laube?view=grid&collections%5B%5D=1872800,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Dags Vidulejs,artmajeur.com,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Alain Vintenon,artmajeur.com,https://www.artmajeur.com/alain-vintenon?view=grid&collections%5B%5D=2312140,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Antoine Alran,artmajeur.com,https://www.artmajeur.com/antoine-alran?view=grid&collections%5B%5D=2199799,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Elisa De Montis,artmajeur.com,https://www.artmajeur.com/elisa-de-montis?view=grid&collections%5B%5D=2450866,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Claire Denarie-Soffietti,artmajeur.com,https://www.artmajeur.com/claire-denarie-soffietti?view=grid&collections%5B%5D=2130209,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Milos Hronec,artmajeur.com,https://www.artmajeur.com/milos-hronec?view=grid&collections%5B%5D=2390674,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
Jean-Humbert Savoldelli,artmajeur.com,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,1-5,unknown,Provided by author as source-site hint; exact work-page and license require verification.
